anio,prevalencia_contactos,porcentaje_ninos,elegibles_tratamiento,year,e_tbhiv_prct,e_mort_exc_tbhiv_100k,e_mort_tbhiv_100k,c_cdr
2015,8.7,46.0,240.0,2000,0.02,68.0,0.17,19.0
2015,8.7,46.0,240.0,2001,0.01,63.0,0.3,26.0
2015,8.7,46.0,240.0,2002,0.01,57.0,0.27,34.0
2015,8.7,46.0,240.0,2003,0.01,58.0,0.29,32.0
2015,8.7,46.0,240.0,2004,0.01,51.0,0.29,41.0
2015,8.7,46.0,240.0,2005,0.02,47.0,0.31,47.0
2015,8.7,46.0,240.0,2006,0.02,43.0,0.32,53.0
2015,8.7,46.0,240.0,2007,0.02,39.0,0.33,59.0
2015,8.7,46.0,240.0,2008,0.02,40.0,0.36,56.0
2015,8.7,46.0,240.0,2009,0.02,44.0,0.41,50.0
2015,8.7,46.0,240.0,2010,0.02,43.0,0.43,52.0
2015,8.7,46.0,240.0,2011,0.03,44.0,0.47,50.0
2015,8.7,46.0,240.0,2012,0.03,44.0,0.5,50.0
2015,8.7,46.0,240.0,2013,0.03,43.0,0.51,51.0
2015,8.7,46.0,240.0,2014,0.03,43.0,0.51,51.0
2015,8.7,46.0,240.0,2015,0.03,39.0,0.47,56.0
2015,8.7,46.0,240.0,2016,0.03,34.0,0.41,64.0
2015,8.7,46.0,240.0,2017,0.03,30.0,0.36,69.0
2015,8.7,46.0,240.0,2018,0.03,29.0,0.35,70.0
2015,8.7,46.0,240.0,2019,0.03,26.0,0.32,73.0
2015,8.7,46.0,240.0,2020,0.02,26.0,0.01,64.0
2015,8.7,46.0,240.0,2021,0.01,26.0,0.0,68.0
2015,8.7,46.0,240.0,2022,0.03,24.0,0.0,69.0
2015,8.7,46.0,240.0,2023,0.03,24.0,0.0,66.0
2016,12.0,64.0,240.0,2000,0.02,68.0,0.17,19.0
2016,12.0,64.0,240.0,2001,0.01,63.0,0.3,26.0
2016,12.0,64.0,240.0,2002,0.01,57.0,0.27,34.0
2016,12.0,64.0,240.0,2003,0.01,58.0,0.29,32.0
2016,12.0,64.0,240.0,2004,0.01,51.0,0.29,41.0
2016,12.0,64.0,240.0,2005,0.02,47.0,0.31,47.0
2016,12.0,64.0,240.0,2006,0.02,43.0,0.32,53.0
2016,12.0,64.0,240.0,2007,0.02,39.0,0.33,59.0
2016,12.0,64.0,240.0,2008,0.02,40.0,0.36,56.0
2016,12.0,64.0,240.0,2009,0.02,44.0,0.41,50.0
2016,12.0,64.0,240.0,2010,0.02,43.0,0.43,52.0
2016,12.0,64.0,240.0,2011,0.03,44.0,0.47,50.0
2016,12.0,64.0,240.0,2012,0.03,44.0,0.5,50.0
2016,12.0,64.0,240.0,2013,0.03,43.0,0.51,51.0
2016,12.0,64.0,240.0,2014,0.03,43.0,0.51,51.0
2016,12.0,64.0,240.0,2015,0.03,39.0,0.47,56.0
2016,12.0,64.0,240.0,2016,0.03,34.0,0.41,64.0
2016,12.0,64.0,240.0,2017,0.03,30.0,0.36,69.0
2016,12.0,64.0,240.0,2018,0.03,29.0,0.35,70.0
2016,12.0,64.0,240.0,2019,0.03,26.0,0.32,73.0
2016,12.0,64.0,240.0,2020,0.02,26.0,0.01,64.0
2016,12.0,64.0,240.0,2021,0.01,26.0,0.0,68.0
2016,12.0,64.0,240.0,2022,0.03,24.0,0.0,69.0
2016,12.0,64.0,240.0,2023,0.03,24.0,0.0,66.0
2017,10.0,97.0,240.0,2000,0.02,68.0,0.17,19.0
2017,10.0,97.0,240.0,2001,0.01,63.0,0.3,26.0
2017,10.0,97.0,240.0,2002,0.01,57.0,0.27,34.0
2017,10.0,97.0,240.0,2003,0.01,58.0,0.29,32.0
2017,10.0,97.0,240.0,2004,0.01,51.0,0.29,41.0
2017,10.0,97.0,240.0,2005,0.02,47.0,0.31,47.0
2017,10.0,97.0,240.0,2006,0.02,43.0,0.32,53.0
2017,10.0,97.0,240.0,2007,0.02,39.0,0.33,59.0
2017,10.0,97.0,240.0,2008,0.02,40.0,0.36,56.0
2017,10.0,97.0,240.0,2009,0.02,44.0,0.41,50.0
2017,10.0,97.0,240.0,2010,0.02,43.0,0.43,52.0
2017,10.0,97.0,240.0,2011,0.03,44.0,0.47,50.0
2017,10.0,97.0,240.0,2012,0.03,44.0,0.5,50.0
2017,10.0,97.0,240.0,2013,0.03,43.0,0.51,51.0
2017,10.0,97.0,240.0,2014,0.03,43.0,0.51,51.0
2017,10.0,97.0,240.0,2015,0.03,39.0,0.47,56.0
2017,10.0,97.0,240.0,2016,0.03,34.0,0.41,64.0
2017,10.0,97.0,240.0,2017,0.03,30.0,0.36,69.0
2017,10.0,97.0,240.0,2018,0.03,29.0,0.35,70.0
2017,10.0,97.0,240.0,2019,0.03,26.0,0.32,73.0
2017,10.0,97.0,240.0,2020,0.02,26.0,0.01,64.0
2017,10.0,97.0,240.0,2021,0.01,26.0,0.0,68.0
2017,10.0,97.0,240.0,2022,0.03,24.0,0.0,69.0
2017,10.0,97.0,240.0,2023,0.03,24.0,0.0,66.0
2018,16.0,85.0,240.0,2000,0.02,68.0,0.17,19.0
2018,16.0,85.0,240.0,2001,0.01,63.0,0.3,26.0
2018,16.0,85.0,240.0,2002,0.01,57.0,0.27,34.0
2018,16.0,85.0,240.0,2003,0.01,58.0,0.29,32.0
2018,16.0,85.0,240.0,2004,0.01,51.0,0.29,41.0
2018,16.0,85.0,240.0,2005,0.02,47.0,0.31,47.0
2018,16.0,85.0,240.0,2006,0.02,43.0,0.32,53.0
2018,16.0,85.0,240.0,2007,0.02,39.0,0.33,59.0
2018,16.0,85.0,240.0,2008,0.02,40.0,0.36,56.0
2018,16.0,85.0,240.0,2009,0.02,44.0,0.41,50.0
2018,16.0,85.0,240.0,2010,0.02,43.0,0.43,52.0
2018,16.0,85.0,240.0,2011,0.03,44.0,0.47,50.0
2018,16.0,85.0,240.0,2012,0.03,44.0,0.5,50.0
2018,16.0,85.0,240.0,2013,0.03,43.0,0.51,51.0
2018,16.0,85.0,240.0,2014,0.03,43.0,0.51,51.0
2018,16.0,85.0,240.0,2015,0.03,39.0,0.47,56.0
2018,16.0,85.0,240.0,2016,0.03,34.0,0.41,64.0
2018,16.0,85.0,240.0,2017,0.03,30.0,0.36,69.0
2018,16.0,85.0,240.0,2018,0.03,29.0,0.35,70.0
2018,16.0,85.0,240.0,2019,0.03,26.0,0.32,73.0
2018,16.0,85.0,240.0,2020,0.02,26.0,0.01,64.0
2018,16.0,85.0,240.0,2021,0.01,26.0,0.0,68.0
2018,16.0,85.0,240.0,2022,0.03,24.0,0.0,69.0
2018,16.0,85.0,240.0,2023,0.03,24.0,0.0,66.0
2019,15.0,82.0,240.0,2000,0.02,68.0,0.17,19.0
2019,15.0,82.0,240.0,2001,0.01,63.0,0.3,26.0
2019,15.0,82.0,240.0,2002,0.01,57.0,0.27,34.0
2019,15.0,82.0,240.0,2003,0.01,58.0,0.29,32.0
2019,15.0,82.0,240.0,2004,0.01,51.0,0.29,41.0
2019,15.0,82.0,240.0,2005,0.02,47.0,0.31,47.0
2019,15.0,82.0,240.0,2006,0.02,43.0,0.32,53.0
2019,15.0,82.0,240.0,2007,0.02,39.0,0.33,59.0
2019,15.0,82.0,240.0,2008,0.02,40.0,0.36,56.0
2019,15.0,82.0,240.0,2009,0.02,44.0,0.41,50.0
2019,15.0,82.0,240.0,2010,0.02,43.0,0.43,52.0
2019,15.0,82.0,240.0,2011,0.03,44.0,0.47,50.0
2019,15.0,82.0,240.0,2012,0.03,44.0,0.5,50.0
2019,15.0,82.0,240.0,2013,0.03,43.0,0.51,51.0
2019,15.0,82.0,240.0,2014,0.03,43.0,0.51,51.0
2019,15.0,82.0,240.0,2015,0.03,39.0,0.47,56.0
2019,15.0,82.0,240.0,2016,0.03,34.0,0.41,64.0
2019,15.0,82.0,240.0,2017,0.03,30.0,0.36,69.0
2019,15.0,82.0,240.0,2018,0.03,29.0,0.35,70.0
2019,15.0,82.0,240.0,2019,0.03,26.0,0.32,73.0
2019,15.0,82.0,240.0,2020,0.02,26.0,0.01,64.0
2019,15.0,82.0,240.0,2021,0.01,26.0,0.0,68.0
2019,15.0,82.0,240.0,2022,0.03,24.0,0.0,69.0
2019,15.0,82.0,240.0,2023,0.03,24.0,0.0,66.0
2020,15.0,85.0,240.0,2000,0.02,68.0,0.17,19.0
2020,15.0,85.0,240.0,2001,0.01,63.0,0.3,26.0
2020,15.0,85.0,240.0,2002,0.01,57.0,0.27,34.0
2020,15.0,85.0,240.0,2003,0.01,58.0,0.29,32.0
2020,15.0,85.0,240.0,2004,0.01,51.0,0.29,41.0
2020,15.0,85.0,240.0,2005,0.02,47.0,0.31,47.0
2020,15.0,85.0,240.0,2006,0.02,43.0,0.32,53.0
2020,15.0,85.0,240.0,2007,0.02,39.0,0.33,59.0
2020,15.0,85.0,240.0,2008,0.02,40.0,0.36,56.0
2020,15.0,85.0,240.0,2009,0.02,44.0,0.41,50.0
2020,15.0,85.0,240.0,2010,0.02,43.0,0.43,52.0
2020,15.0,85.0,240.0,2011,0.03,44.0,0.47,50.0
2020,15.0,85.0,240.0,2012,0.03,44.0,0.5,50.0
2020,15.0,85.0,240.0,2013,0.03,43.0,0.51,51.0
2020,15.0,85.0,240.0,2014,0.03,43.0,0.51,51.0
2020,15.0,85.0,240.0,2015,0.03,39.0,0.47,56.0
2020,15.0,85.0,240.0,2016,0.03,34.0,0.41,64.0
2020,15.0,85.0,240.0,2017,0.03,30.0,0.36,69.0
2020,15.0,85.0,240.0,2018,0.03,29.0,0.35,70.0
2020,15.0,85.0,240.0,2019,0.03,26.0,0.32,73.0
2020,15.0,85.0,240.0,2020,0.02,26.0,0.01,64.0
2020,15.0,85.0,240.0,2021,0.01,26.0,0.0,68.0
2020,15.0,85.0,240.0,2022,0.03,24.0,0.0,69.0
2020,15.0,85.0,240.0,2023,0.03,24.0,0.0,66.0
2021,15.0,86.0,240.0,2000,0.02,68.0,0.17,19.0
2021,15.0,86.0,240.0,2001,0.01,63.0,0.3,26.0
2021,15.0,86.0,240.0,2002,0.01,57.0,0.27,34.0
2021,15.0,86.0,240.0,2003,0.01,58.0,0.29,32.0
2021,15.0,86.0,240.0,2004,0.01,51.0,0.29,41.0
2021,15.0,86.0,240.0,2005,0.02,47.0,0.31,47.0
2021,15.0,86.0,240.0,2006,0.02,43.0,0.32,53.0
2021,15.0,86.0,240.0,2007,0.02,39.0,0.33,59.0
2021,15.0,86.0,240.0,2008,0.02,40.0,0.36,56.0
2021,15.0,86.0,240.0,2009,0.02,44.0,0.41,50.0
2021,15.0,86.0,240.0,2010,0.02,43.0,0.43,52.0
2021,15.0,86.0,240.0,2011,0.03,44.0,0.47,50.0
2021,15.0,86.0,240.0,2012,0.03,44.0,0.5,50.0
2021,15.0,86.0,240.0,2013,0.03,43.0,0.51,51.0
2021,15.0,86.0,240.0,2014,0.03,43.0,0.51,51.0
2021,15.0,86.0,240.0,2015,0.03,39.0,0.47,56.0
2021,15.0,86.0,240.0,2016,0.03,34.0,0.41,64.0
